id_egreso_titulacion,id_estudiante,id_carrera,fecha_egreso,fecha_titulacion,estado_proceso,modalidad_titulacion
1,13,4,2025-07-31,2020-01-01,egresado,Práctica profesional
2,15,3,2024-07-31,,egresado,Práctica profesional
3,26,1,2025-12-20,2026-03-15,titulado,Práctica profesional
4,27,1,2025-12-20,,egresado,Examen
5,35,3,2025-07-31,2026-03-15,titulado,Examen
6,47,6,2024-07-31,,egresado,Práctica profesional
7,48,3,2025-12-20,2026-03-15,titulado,Práctica profesional
8,50,3,2024-12-20,2025-03-15,titulado,Examen
9,60,3,2025-07-31,,egresado,Práctica profesional
10,71,4,2025-07-31,,egresado,Examen
11,83,4,2025-07-31,2026-03-15,titulado,Práctica profesional
12,92,3,2025-07-31,2026-03-15,titulado,Práctica profesional
13,142,4,2024-12-20,2025-03-15,titulado,Práctica profesional
14,144,5,2025-12-20,2026-03-15,titulado,Proyecto
15,146,3,2025-07-31,,egresado,Proyecto
16,147,3,2025-12-20,2026-03-15,titulado,Examen
17,155,2,2025-12-20,,egresado,Examen
18,188,4,2024-07-31,,egresado,Examen
19,208,3,2024-12-20,2025-03-15,titulado,Práctica profesional
20,228,1,2025-12-20,,egresado,Práctica profesional
21,253,3,2024-12-20,2025-03-15,titulado,Examen
22,262,6,2024-07-31,,egresado,Examen
23,267,3,2025-12-20,2026-03-15,titulado,Práctica profesional
24,272,6,2025-12-20,,egresado,Proyecto
25,282,6,2025-07-31,2026-03-15,titulado,Práctica profesional
26,297,4,2025-12-20,,egresado,Práctica profesional
27,298,4,2025-12-20,2026-03-15,titulado,Proyecto
28,302,2,2025-12-20,2026-03-15,titulado,Práctica profesional
29,337,5,2025-12-20,,egresado,Proyecto
30,349,3,2025-07-31,2026-03-15,titulado,Examen
31,357,6,2025-07-31,,egresado,Práctica profesional
