id_estudiante,fecha_nacimiento,genero,fecha_ingreso,tipo_admision,id_carrera_origen
1,2002-02-11,No informa,2023-03-01,Regular,2
2,1997-11-20,Femenino,2024-08-01,Transferencia,4
3,1997-02-15,Femenino,2022-03-01,Regular,2
4,2003-08-06,Masculino,2023-03-01,Regular,3
5,1998-11-18,Masculino,2024-03-01,Regular,1
6,1996-07-15,Masculino,2022-08-01,Regular,4
7,1998-06-16,Femenino,2022-03-01,Especial,4
8,1990-08-17,Masculino,2025-03-01,Regular,2
9,2004-07-04,Femenino,2025-03-01,Regular,2
10,1997-07-17,Femenino,2024-08-01,Regular,4
11,1991-01-13,No informa,2023-03-01,Especial,5
12,2005-11-24,No informa,2025-03-01,Regular,3
13,2001-07-22,Femenino,2023-03-01,Regular,4
14,1996-10-01,Femenino,2024-08-01,Regular,6
15,1988-03-20,No informa,2022-03-01,Regular,3
16,2004-07-13,No informa,2022-03-01,Especial,3
17,2006-05-26,Femenino,2025-03-01,Regular,6
18,2004-05-22,Masculino,2024-08-01,Transferencia,1
19,1993-04-19,No informa,2023-03-01,Regular,6
20,1996-04-09,Femenino,2022-03-01,Regular,4
21,2002-11-01,Femenino,2023-03-01,Especial,3
22,2000-04-22,Masculino,2024-03-01,Especial,1
23,1994-09-02,No informa,2022-03-01,Especial,6
24,2005-01-18,Femenino,2024-03-01,Regular,1
25,1998-02-16,No informa,2025-08-01,Regular,2
26,2005-11-01,Femenino,2022-03-01,Regular,1
27,2002-12-24,Masculino,2022-03-01,Regular,1
28,1990-10-11,Femenino,2024-03-01,Regular,6
29,2000-04-09,Masculino,2023-03-01,Regular,4
30,1987-09-14,Femenino,2025-03-01,Especial,3
31,2005-07-02,No informa,2024-03-01,Regular,3
32,1992-06-08,Masculino,2024-03-01,Regular,3
33,2000-06-13,Femenino,2022-08-01,Regular,1
34,1987-12-06,Femenino,2024-03-01,Regular,3
35,2000-05-15,Masculino,2023-03-01,Especial,3
36,1999-06-11,No informa,2024-08-01,Regular,3
37,1992-08-15,Femenino,2024-08-01,Regular,1
38,2000-11-09,Masculino,2024-08-01,Regular,3
39,1991-06-05,No informa,2025-03-01,Regular,2
40,2005-09-05,Femenino,2023-03-01,Regular,6
41,1995-02-19,No informa,2024-03-01,Regular,4
42,2002-07-16,Masculino,2024-08-01,Regular,6
43,1990-07-12,Masculino,2022-03-01,Regular,6
44,1990-06-07,No informa,2023-08-01,Transferencia,2
45,1988-12-08,Femenino,2025-08-01,Regular,3
46,2003-04-23,Femenino,2024-03-01,Regular,2
47,2006-11-17,Femenino,2022-03-01,Regular,6
48,1988-08-11,Masculino,2023-08-01,Regular,3
49,1988-02-08,Masculino,2025-08-01,Regular,4
50,2000-09-22,No informa,2022-08-01,Regular,3
51,1996-10-17,No informa,2022-08-01,Regular,2
52,1998-10-21,Masculino,2025-08-01,Regular,1
53,1998-05-26,Masculino,2023-03-01,Regular,1
54,2004-01-20,Masculino,2024-08-01,Regular,1
55,1997-11-17,Femenino,2024-08-01,Regular,3
56,1991-01-25,Femenino,2023-03-01,Regular,5
57,1999-06-07,No informa,2025-08-01,Especial,3
58,1991-12-02,No informa,2023-03-01,Transferencia,5
59,1999-07-07,No informa,2023-03-01,Especial,2
60,2002-03-22,No informa,2023-03-01,Regular,3
61,1989-10-23,Masculino,2024-03-01,Transferencia,6
62,1990-11-12,Femenino,2024-08-01,Especial,1
63,1992-08-05,No informa,2022-03-01,Regular,1
64,1995-05-10,No informa,2024-03-01,Regular,5
65,1997-01-04,Femenino,2024-08-01,Regular,5
66,1990-01-13,Femenino,2023-03-01,Regular,3
67,2003-05-23,No informa,2025-03-01,Regular,3
68,1992-01-13,Masculino,2022-03-01,Regular,1
69,1988-03-14,Masculino,2022-03-01,Especial,3
70,1995-06-21,Masculino,2024-03-01,Regular,4
71,2003-10-20,Masculino,2023-03-01,Regular,4
72,1997-11-05,Femenino,2024-08-01,Transferencia,3
73,1994-03-17,Femenino,2024-08-01,Regular,4
74,1988-01-04,No informa,2025-03-01,Regular,3
75,1996-12-19,No informa,2024-03-01,Especial,5
76,1992-02-09,Femenino,2023-03-01,Especial,3
77,1993-03-09,Masculino,2022-03-01,Regular,5
78,1999-05-07,Femenino,2024-03-01,Regular,6
79,1997-03-11,Femenino,2024-03-01,Regular,6
80,2005-12-19,Masculino,2023-03-01,Regular,2
