id_inscripcion,id_estudiante,id_asignatura,id_periodo,nota_final,estado_asignatura,creditos_inscritos,fecha_inscripcion
1,2,106,6,3.7,reprobada,6,2024-08-01
2,2,107,6,6.7,aprobada,6,2024-08-01
3,2,108,6,4.7,aprobada,6,2024-08-01
4,2,109,6,5.6,aprobada,6,2024-08-01
5,2,110,6,3.7,reprobada,6,2024-08-01
6,2,111,7,5.1,aprobada,6,2025-03-01
7,2,112,7,5.3,aprobada,6,2025-03-01
8,2,113,7,4.7,aprobada,6,2025-03-01
9,2,114,7,5.0,aprobada,6,2025-03-01
10,2,115,7,3.3,reprobada,6,2025-03-01
11,2,116,8,4.8,aprobada,6,2025-08-01
12,2,117,8,3.8,reprobada,6,2025-08-01
13,2,118,8,4.7,aprobada,6,2025-08-01
14,2,119,8,5.6,aprobada,6,2025-08-01
15,2,120,8,4.2,aprobada,6,2025-08-01
16,3,41,1,8.2,aprobada,6,2022-03-01
17,3,42,1,4.5,aprobada,6,2022-03-01
18,3,43,1,3.4,reprobada,6,2022-03-01
19,3,44,1,4.6,aprobada,6,2022-03-01
20,3,45,1,5.2,aprobada,6,2022-03-01
21,3,46,2,3.7,reprobada,6,2022-08-01
22,3,47,2,4.6,aprobada,6,2022-08-01
23,3,48,2,5.8,aprobada,6,2022-08-01
24,3,49,2,5.1,aprobada,6,2022-08-01
25,3,50,2,3.6,reprobada,6,2022-08-01
26,3,51,3,5.1,aprobada,6,2023-03-01
27,3,52,3,4.5,aprobada,6,2023-03-01
28,3,53,3,5.3,aprobada,6,2023-03-01
29,3,54,3,4.2,aprobada,6,2023-03-01
30,3,55,3,5.4,aprobada,6,2023-03-01
31,3,9999,4,4.7,aprobada,6,2023-08-01
32,3,57,4,4.5,aprobada,6,2023-08-01
33,3,58,4,5.2,aprobada,6,2023-08-01
34,3,59,4,5.0,aprobada,6,2023-08-01
35,3,60,4,5.9,aprobada,6,2023-08-01
36,3,61,5,5.8,aprobada,6,2024-03-01
37,3,62,5,5.4,aprobada,6,2024-03-01
38,3,63,5,4.7,aprobada,6,2024-03-01
39,3,64,5,4.5,aprobada,6,2024-03-01
40,3,65,5,5.3,aprobada,6,2024-03-01
41,3,66,6,5.6,aprobada,6,2024-08-01
42,3,67,6,5.9,aprobada,6,2024-08-01
43,3,68,6,4.0,aprobada,6,2024-08-01
44,3,69,6,5.7,aprobada,6,2024-08-01
45,3,70,6,5.5,aprobada,6,2024-08-01
46,3,71,7,5.2,aprobada,6,2025-03-01
47,3,72,7,5.0,aprobada,6,2025-03-01
48,3,73,7,5.3,aprobada,6,2025-03-01
49,3,74,7,5.4,aprobada,6,2025-03-01
50,3,75,7,4.5,aprobada,6,2025-03-01
51,3,76,8,6.7,aprobada,6,2025-08-01
52,3,77,8,5.4,aprobada,6,2025-08-01
53,3,78,8,4.5,aprobada,6,2025-08-01
54,3,79,8,7.0,aprobada,6,2025-08-01
55,3,80,8,4.5,aprobada,6,2025-08-01
56,4,81,3,6.3,aprobada,6,2023-03-01
57,4,82,3,4.3,aprobada,6,2023-03-01
58,4,83,3,5.0,aprobada,6,2023-03-01
59,4,84,3,4.3,aprobada,6,2023-03-01
60,4,85,3,5.1,aprobada,6,2023-03-01
61,4,86,4,4.7,aprobada,6,2023-08-01
62,4,87,4,4.4,aprobada,6,2023-08-01
63,4,88,4,4.7,aprobada,6,2023-08-01
64,4,89,4,5.1,aprobada,6,2023-08-01
65,4,90,4,3.4,reprobada,6,2023-08-01
66,5,1,5,3.9,reprobada,6,2024-03-01
67,5,2,5,5.1,aprobada,6,2024-03-01
68,5,3,5,5.1,aprobada,6,2024-03-01
69,5,4,5,5.9,aprobada,6,2024-03-01
70,5,5,5,5.3,aprobada,6,2024-03-01
