id_matricula,id_estudiante,id_carrera,id_periodo,tipo_matricula,estado_matricula,nivel_cursado,fecha_matricula
1,1,2,3,nueva,retirada,1,2023-03-01
2,2,4,6,nueva,vigente,1,2024-08-01
3,2,4,7,continuidad,vigente,2,2025-03-01
4,2,4,8,continuidad,vigente,3,2025-08-01
5,3,2,1,nueva,vigente,1,2022-03-01
6,3,2,2,continuidad,vigente,2,2022-08-01
7,3,2,3,continuidad,vigente,3,2023-03-01
8,3,2,4,continuidad,vigente,4,2023-08-01
9,3,2,5,continuidad,vigente,5,2024-03-01
10,3,2,6,continuidad,vigente,6,2024-08-01
11,3,2,7,continuidad,vigente,7,2025-03-01
12,3,2,8,continuidad,vigente,8,2025-08-01
13,4,3,3,nueva,vigente,1,2023-03-01
14,4,3,4,continuidad,vigente,2,2023-08-01
15,4,3,5,continuidad,suspendida,3,2024-03-01
16,5,1,5,nueva,vigente,1,2024-03-01
17,5,1,6,continuidad,retirada,2,2024-08-01
18,6,4,2,nueva,vigente,1,2022-08-01
19,6,4,3,continuidad,vigente,2,2023-03-01
20,6,4,4,continuidad,vigente,3,2023-08-01
21,6,4,5,continuidad,vigente,4,2024-03-01
22,6,4,6,continuidad,vigente,5,2024-08-01
23,7,4,1,nueva,vigente,1,2022-03-01
24,7,4,2,continuidad,vigente,2,2022-08-01
25,7,4,3,continuidad,retirada,3,2023-03-01
26,8,2,7,nueva,VIGENTE,1,2025-03-01
27,8,2,8,continuidad,vigente,2,2025-08-01
28,9,2,7,nueva,vigente,1,2025-03-01
29,9,2,8,continuidad,vigente,2,2025-08-01
30,10,4,6,nueva,vigente,1,2024-08-01
31,10,4,7,continuidad,vigente,2,2025-03-01
32,10,4,8,continuidad,vigente,3,2025-08-01
33,11,5,3,nueva,vigente,1,2023-03-01
34,11,5,4,continuidad,vigente,2,2023-08-01
35,11,5,5,continuidad,vigente,3,2024-03-01
36,11,5,6,continuidad,vigente,4,2024-08-01
37,11,5,7,continuidad,vigente,5,2025-03-01
38,11,5,8,continuidad,vigente,6,2025-08-01
39,12,3,7,nueva,vigente,1,2025-03-01
40,12,3,8,continuidad,vigente,2,2025-08-01
41,13,4,3,nueva,vigente,1,2023-03-01
42,13,4,4,continuidad,vigente,2,2023-08-01
43,13,4,5,continuidad,vigente,3,2024-03-01
44,13,4,6,continuidad,vigente,4,2024-08-01
45,13,4,7,continuidad,vigente,5,2025-03-01
46,14,6,6,nueva,vigente,1,2024-08-01
47,14,6,7,continuidad,vigente,2,2025-03-01
48,14,6,8,continuidad,vigente,3,2025-08-01
49,15,3,1,nueva,vigente,1,2022-03-01
50,15,3,2,continuidad,vigente,2,2022-08-01
51,15,3,3,continuidad,vigente,3,2023-03-01
52,15,3,4,continuidad,vigente,4,2023-08-01
53,15,3,5,continuidad,vigente,5,2024-03-01
54,16,3,1,nueva,vigente,1,2022-03-01
55,16,3,2,continuidad,vigente,2,2022-08-01
56,16,3,3,continuidad,vigente,3,2023-03-01
57,16,3,4,continuidad,vigente,4,2023-08-01
58,16,3,5,continuidad,retirada,5,2024-03-01
59,17,6,7,nueva,vigente,1,2025-03-01
60,17,6,8,continuidad,vigente,2,2025-08-01
61,18,1,6,nueva,vigente,1,2024-08-01
62,18,1,7,continuidad,vigente,2,2025-03-01
63,18,1,8,continuidad,vigente,3,2025-08-01
64,19,6,3,nueva,vigente,1,2023-03-01
65,19,6,4,continuidad,vigente,2,2023-08-01
66,19,6,5,continuidad,suspendida,3,2024-03-01
67,20,4,1,nueva,vigente,1,2022-03-01
68,20,4,2,continuidad,vigente,2,2022-08-01
69,20,4,3,continuidad,vigente,3,2023-03-01
70,20,4,4,continuidad,vigente,4,2023-08-01
71,20,4,5,continuidad,vigente,5,2024-03-01
72,21,3,3,nueva,vigente,1,2023-03-01
73,21,3,4,continuidad,vigente,2,2023-08-01
74,21,3,5,continuidad,vigente,3,2024-03-01
75,21,3,6,continuidad,retirada,4,2024-08-01
76,22,1,5,nueva,vigente,1,2024-03-01
